# Orientation data file - Sat Oct 02 20:52:34 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_long_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

13  0.092 	# ((4344 / 2936136) / (600328 / 370101436))
14  0.025 	# ((4870 / 2936136) / (629588 / 370101436))
15 -0.007 	# ((5224 / 2936136) / (653982 / 370101436))
16  0.041 	# ((5092 / 2936136) / (668756 / 370101436))
17  0.037 	# ((5188 / 2936136) / (678300 / 370101436))
18 -0.011 	# ((5634 / 2936136) / (702618 / 370101436))
19 -0.026 	# ((6090 / 2936136) / (748262 / 370101436))
20  0.107 	# ((152310 / 2936136) / (21363436 / 370101436))

# a1 > 90, a2 > 90

3   0.000 	# ((2 / 2936136) / (3496 / 370101436)) ?
4  -0.045 	# ((16826 / 2936136) / (2027074 / 370101436))
5   0.912 	# ((434 / 2936136) / (136168 / 370101436))
6  -0.344 	# ((12576 / 2936136) / (1123876 / 370101436))
7   0.465 	# ((3056 / 2936136) / (613256 / 370101436))
8   0.132 	# ((3160 / 2936136) / (454388 / 370101436))
9   0.244 	# ((6054 / 2936136) / (973564 / 370101436))
10  0.245 	# ((6970 / 2936136) / (1121962 / 370101436))
11  0.163 	# ((8340 / 2936136) / (1237222 / 370101436))
12  0.037 	# ((10810 / 2936136) / (1414642 / 370101436))
13 -0.002 	# ((14450 / 2936136) / (1818220 / 370101436))
14  0.002 	# ((17748 / 2936136) / (2240672 / 370101436))
15  0.044 	# ((18626 / 2936136) / (2453592 / 370101436))
16  0.039 	# ((19044 / 2936136) / (2496218 / 370101436))
17  0.060 	# ((19732 / 2936136) / (2640200 / 370101436))
18  0.057 	# ((20144 / 2936136) / (2688652 / 370101436))
19  0.078 	# ((20614 / 2936136) / (2809344 / 370101436))
20  0.112 	# ((572984 / 2936136) / (80769768 / 370101436))

# a1 > 90, a2 30-90

3   0.000 	# ((0 / 2936136) / (146 / 370101436)) ?
4  -0.152 	# ((64 / 2936136) / (6932 / 370101436))
5   0.183 	# ((920 / 2936136) / (139316 / 370101436))
6   1.011 	# ((1824 / 2936136) / (631610 / 370101436))
7   0.490 	# ((2966 / 2936136) / (610420 / 370101436))
