# Orientation data file - Thu Sep 30 10:24:39 - min reliable 7
# ../mkd /home/dfisher/pisces2 /home/dfisher/pisces2/final_short_list
# 18 distances, 10 angles

ALA ALA

# a1 < 30, a2 < 30

18  0.226 	# ((406 / 156616) / (72160 / 22209512))
19  0.144 	# ((440 / 156616) / (72056 / 22209512))
20  0.242 	# ((3798 / 156616) / (686270 / 22209512))

# a1 > 90, a2 > 90

3   0.000 	# ((0 / 156616) / (666 / 22209512)) ?
4  -0.085 	# ((2992 / 156616) / (389536 / 22209512))
5   1.279 	# ((60 / 156616) / (30566 / 22209512))
6  -0.240 	# ((1942 / 156616) / (216638 / 22209512))
7   0.526 	# ((458 / 156616) / (109902 / 22209512))
8   0.363 	# ((364 / 156616) / (74226 / 22209512))
9   0.265 	# ((880 / 156616) / (162592 / 22209512))
10  0.430 	# ((834 / 156616) / (181786 / 22209512))
11  0.311 	# ((972 / 156616) / (188078 / 22209512))
12  0.158 	# ((1220 / 156616) / (202718 / 22209512))
13  0.092 	# ((1630 / 156616) / (253308 / 22209512))
14  0.084 	# ((2062 / 156616) / (318022 / 22209512))
15  0.112 	# ((2102 / 156616) / (333278 / 22209512))
16  0.059 	# ((2168 / 156616) / (326140 / 22209512))
17  0.096 	# ((2136 / 156616) / (333546 / 22209512))
18  0.117 	# ((2008 / 156616) / (320208 / 22209512))
19  0.148 	# ((1964 / 156616) / (322988 / 22209512))
20  0.132 	# ((21358 / 156616) / (3455222 / 22209512))

# a1 > 90, a2 30-90

3   0.000 	# ((0 / 156616) / (32 / 22209512)) ?
4   0.059 	# ((8 / 156616) / (1204 / 22209512))
5   0.340 	# ((114 / 156616) / (22720 / 22209512))
6   1.024 	# ((298 / 156616) / (117646 / 22209512))
7   0.550 	# ((474 / 156616) / (116554 / 22209512))
8  -0.009 	# ((314 / 156616) / (44148 / 22209512))
9   0.270 	# ((584 / 156616) / (108520 / 22209512))
10  0.299 	# ((866 / 156616) / (165602 / 22209512))
11  0.432 	# ((980 / 156616) / (214156 / 22209512))
12  0.229 	# ((888 / 156616) / (158264 / 22209512))
13  0.364 	# ((932 / 156616) / (190146 / 22209512))
14  0.188 	# ((1160 / 156616) / (198566 / 22209512))
15  0.375 	# ((1094 / 156616) / (225828 / 22209512))
16  0.371 	# ((1066 / 156616) / (218962 / 22209512))
17  0.316 	# ((1122 / 156616) / (218288 / 22209512))
18  0.143 	# ((1184 / 156616) / (193692 / 22209512))
19  0.359 	# ((1012 / 156616) / (205546 / 22209512))
20  0.313 	# ((10576 / 156616) / (2051208 / 22209512))

# a1 30-90, a2 > 90

3   0.000 	# ((0 / 156616) / (108 / 22209512)) ?
4  -0.507 	# ((14 / 156616) / (1196 / 22209512))
5  -0.925 	# ((508 / 156616) / (28556 / 22209512))
6  -0.841 	# ((1962 / 156616) / (119958 / 22209512))
